Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
I resampled these to 1-nm intervals and converted to photons 
assuming that all of the light was at the center of the bin.
Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
601.5	2.2786701277720984e14
602.5	2.2771008636164547e14
603.5	2.2753043917862253e14
604.5	2.272873241473256e14
605.5	2.2697386929833006e14
606.5	2.2655816665809175e14
607.5	2.260963772530474e14
608.5	2.2564899436746116e14
609.5	2.2521742449404928e14
610.5	2.248361847208321e14
611.5	2.244591167112849e14
612.5	2.240862529980071e14
613.5	2.237069814470569e14
614.5	2.23347937582027e14
615.5	2.230519494856781e14
616.5	2.2289421300838725e14
617.5	2.228419298678053e14
618.5	2.2287147489020912e14
619.5	2.2291607166196016e14
620.5	2.229206218882037e14
621.5	2.2290111208831138e14
622.5	2.2285473144569028e14
623.5	2.228138108576776e14
624.5	2.2279869946523138e14
625.5	2.228095273987495e14
626.5	2.2285050112334138e14
627.5	2.2287549808834153e14
628.5	2.2281492781025884e14
629.5	2.227107107123291e14
630.5	2.2256537999962994e14
631.5	2.2241435716644638e14
632.5	2.2230426359663538e14
633.5	2.2220782178997506e14
634.5	2.2212510331818434e14
635.5	2.220492882639976e14
636.5	2.219279579343354e14
637.5	2.217553735786539e14
638.5	2.215700754831059e14
639.5	2.2137478554184578e14
640.5	2.2119030184570416e14
641.5	2.2106537883264225e14
642.5	2.2086652874058188e14
643.5	2.2049990477987922e14
644.5	2.2003881699456316e14
645.5	2.1953043548500138e14
646.5	2.1900960591846853e14
647.5	2.185099865223596e14
648.5	2.1803731387837806e14
649.5	2.1759454194655438e14
650.5	2.1717617705526072e14
651.5	2.1677951682990262e14
652.5	2.16386274696327e14
653.5	2.1602907542968616e14
654.5	2.1573932383265247e14
655.5	2.1554150719283475e14
656.5	2.154958563648615e14
657.5	2.1565013245799047e14
658.5	2.1588671385889706e14
659.5	2.1618309234643944e14
660.5	2.1651089081853412e14
661.5	2.1681286491318253e14
662.5	2.1709464493893003e14
663.5	2.1735182272855078e14
664.5	2.17581405282895e14
665.5	2.1779770260804234e14
666.5	2.1801800252734238e14
667.5	2.1821481824751694e14
668.5	2.1835179892635634e14
669.5	2.1841560945134466e14
670.5	2.1840737870368288e14
671.5	2.1830348584732775e14
672.5	2.1813267885599644e14
673.5	2.1795601491234347e14
674.5	2.177910290874744e14
675.5	2.1760701386076494e14
676.5	2.1742443223727134e14
677.5	2.1724770539725944e14
678.5	2.1705037783085347e14
679.5	2.1683973358707125e14
680.5	2.1663490725649134e14
681.5	2.1642262879179647e14
682.5	2.162013919336321e14
683.5	2.1599043537689512e14
684.5	2.157705117513287e14
685.5	2.1553712830494828e14
686.5	2.153036331633098e14
687.5	2.1505213990323366e14
688.5	2.1479004318457544e14
689.5	2.145337535349198e14
690.5	2.142623373109382e14
691.5	2.1399373298796934e14
692.5	2.1373997545897122e14
693.5	2.1347707084742662e14
694.5	2.1322004921428328e14
695.5	2.1297950208950325e14
696.5	2.1272378501359797e14
697.5	2.1247099261838353e14
698.5	2.1223174896642162e14
699.5	2.1198791388025684e14
700.5	2.117501092536107e14
701.5	2.1152445338402053e14
702.5	2.112942451193468e14
703.5	2.1105489410980672e14
704.5	2.1082011935258972e14
705.5	2.1057005535804953e14
706.5	2.1030924042380988e14
707.5	2.1005911787059062e14
708.5	2.0980130027318066e14
709.5	2.0953422281354612e14
710.5	2.0927942641020538e14
711.5	2.090169089365943e14
712.5	2.0874509906815934e14
713.5	2.0847324907618503e14
714.5	2.0819516692257538e14
715.5	2.0791393669775856e14
716.5	2.076528615027233e14
717.5	2.073949148593355e14
718.5	2.0714011628715475e14
719.5	2.0690721106998638e14
720.5	2.0668535826127234e14
721.5	2.064605265508684e14
722.5	2.06245245327244e14
723.5	2.0604583675889303e14
724.5	2.0582308930369406e14
725.5	2.0559422029769784e14
726.5	2.0537339118144662e14
727.5	2.051590631629862e14
728.5	2.0494968877500266e14
729.5	2.047421297060686e14
